Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
L831HT,WF0TK3SU5MMA16976,FORD,Mustang Mach-E,98kWh Extended Range AWD auto 5d,98,,18-12-2024,NL,EV,Not Found
x,WF0EXXTTRBNP16412,FORD,e-Transit,x,,,18.10.2024 00:00:00,Germany,EV,Not Found
x,WF0EXXTTRBNP16413,FORD,e-Transit,x,,,18.10.2024 00:00:00,Germany,EV,Not Found
x,WF0EXXTTRBNB19272,FORD,e-Transit,x,,,30.11.2024 00:00:00,Germany,EV,Not Found
x,WF0EXXTTRBNB19277,FORD,e-Transit,x,,,30.11.2024 00:00:00,Germany,EV,Not Found
L-641-PH,KNACC81GFM5077052,KIA,e-Niro,64kWh DynamicPlusLine,64,,7/15/2024,NL,EV,Found
L-614-RP,KNACC81GFM5108253,KIA,e-Niro,64kWh ExecutiveLine,64,,7/16/2024,NL,EV,Found
P-144-ZN,KNACC81GFN5149552,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
P-146-ZN,KNACC81GFN5150279,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
P-149-ZN,KNACC81GFN5150341,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
P-145-ZN,KNACC81GFN5150266,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
P-147-ZN,KNACC81GFN5150282,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
P-148-ZN,KNACC81GFN5150283,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,Not Found
L-511-TF,KNACC81GFM5091227,KIA,e-Niro,64kWh ExecutiveLine,64,,7/28/2024,NL,EV,Found
L-770-SV,KNACC81GFM5084309,KIA,e-Niro,64kWh ExecutiveLine,64,,7/28/2024,NL,EV,Found
L-046-RB,KNACC81GFM5078733,KIA,e-Niro,64kWh DynamicPlusLine,64,,7/28/2024,NL,EV,Not Found
L-559-SF,KNACC81GFM5097095,KIA,e-Niro,64kWh ExecutiveLine,64,,7/29/2024,NL,EV,Found
R258BR,KNAC381AFN5064184,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,Not Found
R368DH,KNAC381AFN5064335,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,Not Found
R095DN,KNAC381AFN5064337,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,Not Found
G248PP,WBY8P210607F13531,BMW,i3,i3 (120Ah) 5d,,,15-11-2024,NL,EV,Found
G-715-RR,WBY8P210X07F26170,BMW,i3,i3 (120Ah),,,11/18/2024,NL,EV,Found
G-417-SF,WBY8P210307F27905,BMW,i3,i3 (120Ah),,,11/21/2024,NL,EV,Found
ZP387T,W0VF86E06K4119185,Opel,Ampera-e,150kW Business+ 5d,,,10-07-2024,NL,EV,Not Found
K907KT,VR1UJZKXZLW025472,DS,DS 3 Crossback,E-TENSE 50 kWh ACTI Auto 5d Business 5d,50,,13-07-2024,NL,EV,Not Found
G011RZ,WBY8P210707F25526,BMW,i3,i3 (120Ah) 5d,,,22-11-2024,NL,EV,Found
ZP388T,W0VF86E08K4118653,Opel,Ampera-e,150kW Business+ 5d,,,15-07-2024,NL,EV,Not Found
G-448-NG,WBY8P210807F02241,BMW,i3,i3 (120Ah) Executive Edition,,,11/29/2024,NL,EV,Found
L-569-VT,KNACC81GFM5091680,KIA,e-Niro,64kWh ExecutiveLine,64,,8/12/2024,NL,EV,Found
XB078R,W0VF86E03J4136475,Opel,Ampera-e,150kW Business+ 5d,,,30-07-2024,NL,EV,Not Found
L-235-XJ,KNACC81GFM5109736,KIA,e-Niro,64kWh DynamicPlusLine,64,,8/17/2024,NL,EV,Found
J491GR,VR3UHZKXZLT073946,PEUGEOT,208,Allure EV 50kWh 136 5d,50,,31-07-2024,NL,EV,Not Found
G658RT,WBY8P210907F20375,BMW,i3,i3 (120Ah) 5d,,,30-11-2024,NL,EV,Found
L-142-XN,KNACC81GFM5090507,KIA,e-Niro,64kWh ExecutiveLine,64,,8/18/2024,NL,EV,Not Found
R768GF,KNAC381AFN5055544,KIA,EV6,77.4kWh EV6 Plus RWD 5d,77.4,,22-08-2024,NL,EV,Found
R630DT,KNAC381AFN5063431,KIA,EV6,77.4kWh EV6 Plus RWD 5d,77.4,,26-08-2024,NL,EV,Not Found
x,KNAC481AFN5070595,KIA,EV6,x,,,20.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFM5096168,KIA,E-Niro,x,,,26.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFM5103176,KIA,E-Niro,x,,,26.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFL5057071,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFL5052869,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFL5052197,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFN5114535,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFN5114517,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFL5055184,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFM5095259,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFN5121769,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,Found
x,KNACC81GFM5086938,KIA,E-Niro,x,,,29.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFN5118366,KIA,E-Niro,x,,,29.09.2024 00:00:00,Germany,EV,Not Found
x,KNACC81GFM5104083,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,Found
L-327-VZ,ZFAEFAR48MX028097,FIAT,500e,42kWh La Prima 3+1,42,,8/12/2024,NL,EV,Found
ZT106L,W0VF86E03K4138132,Opel,Ampera-e,150kW Business Executive 5d,,,13-08-2024,NL,EV,Not Found
ZT604X,W0VF86E03K4137286,Opel,Ampera-e,150kW Business Executive 5d,,,14-08-2024,NL,EV,Not Found
ZV115B,W0VF86E06K4117940,Opel,Ampera-e,150kW Business+ 5d,,,15-08-2024,NL,EV,Not Found
x,KNACC81GFL5049156,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,Not Found
G-520-TF,WBY8P610607E99380,BMW,i3,i3s (120Ah) Executive Edition,,,12/1/2024,NL,EV,Found
N-559-RN,W1N2437011J028607,Mercedes-Benz,EQA,250 Business Solution AMG auto,66.5,420,12/14/2024,NL,EV,Found
G515TF,WBY8P210707F06166,BMW,i3,i3 (120Ah) 5d,,,05-12-2024,NL,EV,Found
K-610-DX,W1K2938901F016704,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,12/3/2024,NL,EV,Found
J404XK,W1K2938901F016034,Mercedes-Benz,EQC,EQC 400 4MATIC AMG 5d,,405,05-11-2024,NL,EV,Found
J198LV,W1K2938901F012583,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG 5d,,406,14-12-2024,NL,EV,Found
K597JD,W1K2938901F020099,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG 5d,,406,29-12-2024,NL,EV,Found
J-627-JG,W1K2938901F010449,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,6/30/2024,NL,EV,Found
J-019-HL,W1K2938901F011124,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,8/6/2024,NL,EV,Found
J-924-ZH,W1K2938901F016147,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/12/2024,NL,EV,Found
