VIN,Licence plate, ,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated,Ownership ,Fleet,Start Date
VXKUHZKXZL4332502,J207NB,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,14-09-2024,NL,EV,deactivated,SOLD,1,9/14/2020
VR3UHZKXZLT088298,J388LK,PEUGEOT,208,GT EV 50kWh 136 5d,50,,14-09-2024,NL,EV,activated,Ayvens,1,9/14/2020
VXKUHZKXZL4320006,J531NF,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,16-09-2024,NL,EV,deactivated,SOLD,1,9/15/2020
VR3UKZKXZLJ783251,J871LF,Peugeot,2008,GT EV 50kWh 136 5d,50,,21-09-2024,NL,EV,activated,Ayvens,1,9/21/2020
VXKUHZKXZL4324476,J184NX,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,22-09-2024,NL,EV,deactivated,SOLD,1,9/22/2020
VR3UKZKXZLJ808605,J032NZ,Peugeot,2008,GT EV 50kWh 136 5d,50,,24-09-2024,NL,EV,activated,Ayvens,1,9/23/2020
VR3UKZKXZLJ783266,J105LZ,Peugeot,2008,GT EV 50kWh 136 5d,50,,25-09-2024,NL,EV,activated,Ayvens,1,9/24/2020
W0VF86E01K4127078,G378FV,Opel,Ampera-e,150kW Business Executive 5d,50,,26-09-2024,NL,EV,never activated,Ayvens,1,9/25/2019
VR1UJZKXZLW023694,J733PL,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,30-09-2024,NL,EV,activated,Ayvens,1,9/30/2020
VR1UJZKXZLW025584,J021VX,DS,DS 3 Crossback,E-TENSE 50 kWh Performance Line Auto 5d,50,,01-10-2024,NL,EV,activated,Ayvens,1,11/6/2020
VXKUHZKXZM4003774,K831JX,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,01-10-2024,NL,EV,activated,Ayvens,1,12/30/2020
VR3UKZKXZLJ820825,J678SJ,Peugeot,2008,Allure EV 50kWh 136 5d,50,,01-10-2024,NL,EV,activated,Ayvens,1,10/26/2020
VR3UKZKXZLJ783214,J021NV,Peugeot,2008,GT EV 50kWh 136 5d,50,,01-10-2024,NL,EV,activated,Ayvens,1,9/30/2020
VR3UKZKXZLJ782214,J865LF,Peugeot,2008,Allure EV 50kWh 136 5d,50,,01-10-2024,NL,EV,activated,Ayvens,1,9/30/2020
VR3UHZKXZLT073555,J658NF,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,01-10-2024,NL,OLD,activated,Ayvens,1,9/18/2020
VR1UJZKXZLW021483,J293PX,DS,DS 3 Crossback,E-TENSE 50 kWh ActieAuto Auto 5d So Chic,50,,02-10-2024,NL,EV,activated,Ayvens,1,10/2/2020
W1N9M0BB8PN025213,R173SZ,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,24-11-2024,NL,EV,activated,Ayvens,1,11/23/2022
W1N9M0BB4PN020204,R175SZ,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,24-11-2024,NL,EV,activated,Ayvens,1,11/23/2022
W1N2436081N000470,x,MERCEDES-BENZ,EQB,EQB,70.5,X,20.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/20/2024
W1N2436121N000479,x,MERCEDES-BENZ,EQB,EQB,70.5,X,20.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/20/2024
W0VF86E09K4138149,G077HS,Opel,Ampera-e,150kW Business Executive 5d,50,,02-10-2024,NL,EV,never activated,Ayvens,1,10/2/2019
VR3UHZKXZLT073557,J741RG,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,02-10-2024,NL,OLD,activated,Ayvens,1,9/30/2020
VXKUHZKXZL4313298,J516RX,Opel,Corsa-e,50kWh Launch Edition 5d,,,06-10-2024,NL,EV,activated,Ayvens,1,10/6/2020
W1N9M0BB2PN039298,T178BT,Mercedes-Benz,EQB,EQB 250 Luxury Line auto 5d,70.5,407,27-05-2024,NL,EV,activated,Ayvens,1,5/27/2023
VR3UKZKXZLJ812308,J982SF,Peugeot,2008,GT EV 50kWh 136 5d,50,,13-10-2024,NL,EV,activated,Ayvens,1,10/13/2020
VR3UKZKXZLJ812299,J601SF,Peugeot,2008,GT EV 50kWh 136 5d,50,,14-10-2024,NL,EV,activated,Ayvens,1,10/14/2020
VXKUHZKXZL4320073,J694SX,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,15-10-2024,NL,EV,activated,Ayvens,1,10/15/2020
VR1UJZKXZLW018508,J861SX,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,16-10-2024,NL,EV,activated,Ayvens,1,10/16/2020
VR3UKZKXZLJ814764,J903RR,Peugeot,2008,Allure EV 50kWh 136 5d,50,,17-10-2024,NL,EV,activated,Ayvens,1,10/16/2020
VR3UKZKXZLJ812286,J593RN,Peugeot,2008,GT EV 50kWh 136 5d,50,,19-10-2024,NL,EV,activated,Ayvens,1,10/16/2020
VR3UKZKXZLJ820066,J978TH,Peugeot,2008,Active EV 50kWh 136 5d,50,,21-10-2024,NL,EV,pending,Ayvens,1,10/19/2020
VR3UKZKXZLJ834044,J039TB,Peugeot,2008,GT EV 50kWh 136 5d,50,,21-10-2024,NL,EV,activated,Ayvens,1,10/21/2020
