VIN,Licence plate, ,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated,Ownership ,Fleet,Start Date
WBY8P210907F20375,G658RT,BMW,i3,i3 (120Ah) 5d,,,30-11-2024,NL,EV,deactivated,Ayvens,1,11/29/2019
KNACC81GFM5090507,L-142-XN,KIA,e-Niro,64kWh ExecutiveLine,64,,8/18/2024,NL,EV,deactivated,SOLD,1,8/19/2021
KNAC381AFN5055544,R768GF,KIA,EV6,77.4kWh EV6 Plus RWD 5d,77.4,,22-08-2024,NL,EV,activated,Ayvens,1,8/22/2022
KNAC381AFN5063431,R630DT,KIA,EV6,77.4kWh EV6 Plus RWD 5d,77.4,,26-08-2024,NL,EV,activated,Ayvens,1,8/26/2022
KNAC481AFN5070595,x,KIA,EV6,x,,,20.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/20/2024
KNACC81GFM5096168,x,KIA,E-Niro,x,,,26.09.2024 00:00:00,Germany,EV,never activated,Ayvens,1,9/26/2024
KNACC81GFM5103176,x,KIA,E-Niro,x,,,26.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/26/2024
KNACC81GFL5057071,x,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,deactivated,Ayvens,1,9/27/2024
KNACC81GFL5052869,x,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/27/2024
KNACC81GFL5052197,x,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/27/2024
KNACC81GFN5114535,x,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/27/2024
KNACC81GFN5114517,x,KIA,E-Niro,x,,,27.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/27/2024
KNACC81GFL5055184,x,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/28/2024
KNACC81GFM5095259,x,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,activated,SOLD,1,9/28/2024
KNACC81GFN5121769,x,KIA,E-Niro,x,,,28.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/28/2024
KNACC81GFM5086938,x,KIA,E-Niro,x,,,29.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/29/2024
KNACC81GFN5118366,x,KIA,E-Niro,x,,,29.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/29/2024
KNACC81GFM5104083,x,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,activated,SOLD,1,9/30/2024
ZFAEFAR48MX028097,L-327-VZ,FIAT,500e,42kWh La Prima 3+1,42,,8/12/2024,NL,EV,activated,Ayvens,1,8/13/2021
W0VF86E03K4138132,ZT106L,Opel,Ampera-e,150kW Business Executive 5d,50,,13-08-2024,NL,EV,never activated,Ayvens,1,8/13/2019
W0VF86E03K4137286,ZT604X,Opel,Ampera-e,150kW Business Executive 5d,50,,14-08-2024,NL,EV,never activated,Ayvens,1,8/14/2019
W0VF86E06K4117940,ZV115B,Opel,Ampera-e,150kW Business+ 5d,50,,15-08-2024,NL,EV,never activated,Ayvens,1,8/15/2019
KNACC81GFL5049156,x,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/30/2024
WBY8P610607E99380,G-520-TF,BMW,i3,i3s (120Ah) Executive Edition,,,12/1/2024,NL,EV,deactivated,Ayvens,1,12/2/2019
W1N2437011J028607,N-559-RN,Mercedes-Benz,EQA,250 Business Solution AMG auto,66.5,420,12/14/2024,NL,EV,activated,Ayvens,1,12/15/2021
WBY8P210707F06166,G515TF,BMW,i3,i3 (120Ah) 5d,,,05-12-2024,NL,EV,deactivated,Ayvens,1,12/5/2019
W1K2938901F016704,K-610-DX,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,12/3/2024,NL,EV,activated,Ayvens,1,12/4/2020
W1K2938901F016034,J404XK,Mercedes-Benz,EQC,EQC 400 4MATIC AMG 5d,,405,05-11-2024,NL,EV,activated,Ayvens,1,11/5/2020
W1K2938901F012583,J198LV,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG 5d,,406,14-12-2024,NL,EV,activated,Ayvens,1,9/11/2020
W1K2938901F020099,K597JD,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG 5d,,406,29-12-2024,NL,EV,activated,Ayvens,1,12/29/2020
W1K2938901F010449,J-627-JG,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,6/30/2024,NL,EV,activated,SOLD,1,7/1/2021
W1K2938901F011124,J-019-HL,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,8/6/2024,NL,EV,deactivated,SOLD,1,8/7/2020
W1K2938901F016147,J-924-ZH,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/12/2024,NL,EV,activated,Ayvens,1,11/13/2020
W1K2938901F016544,K-642-DJ,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/26/2024,NL,EV,activated,Ayvens,1,11/27/2020
WBY8P610X07F50573,G-419-VT,BMW,i3,i3s (120Ah),,,12/17/2024,NL,EV,activated,Ayvens,1,12/18/2019
WBY8P210407F37312,G418VT,BMW,i3,i3 (120Ah) 5d,,,17-12-2024,NL,EV,activated,Ayvens,1,12/17/2019
KNACC81GFL5043227,x,KIA,E-Niro,x,,,30.09.2024 00:00:00,Germany,EV,deactivated,SOLD,1,9/30/2024
KNAC381BFN5004426,x,KIA,EV6,x,,,07.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,11/7/2024
W1K2938901F016451,K-660-DJ,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,11/29/2024,NL,EV,activated,Ayvens,1,11/30/2020
W1K2938901F017998,K-447-FS,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/3/2024,NL,EV,activated,Ayvens,1,12/4/2020
W1K2938901F020390,K-361-KR,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/29/2024,NL,EV,activated,Ayvens,1,12/30/2020
W1K2938901F015348,K-582-JD,Mercedes-Benz,EQC,EQC 400 4MATIC AMG,,397,12/30/2024,NL,EV,activated,Ayvens,1,12/31/2020
W1K2938901F016217,J473XV,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,01-11-2024,NL,EV,activated,Ayvens,1,11/9/2020
W1K2938901F016162,J293ZB,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,10-11-2024,NL,EV,activated,Ayvens,1,11/10/2020
W1K2938901F016196,J993ZF,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution 5d,,404,27-11-2024,NL,EV,activated,Ayvens,1,11/27/2020
W1K2938901F006183,H693PH,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,27-03-2024,NL,EV,activated,Ayvens,1,3/27/2020
W1K2938901F005839,H696PH,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,03-04-2024,NL,EV,deactivated,SOLD,1,3/31/2020
W1K2938901F006679,J211RX,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,08-04-2024,NL,EV,deactivated,SOLD,1,10/7/2020
W1K2938901F006553,H896VK,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,05-06-2024,NL,EV,activated,SOLD,1,6/5/2020
WDD2938901F001085,ZL572R,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,11-06-2024,NL,EV,deactivated,SOLD,1,6/25/2019
W1K2938901F005626,H715NH,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,17-09-2024,NL,EV,activated,Ayvens,1,3/17/2020
KNAC481AFN5009791,N465KX,KIA,EV6,77.4kWh GT-Line RWD 5d,77.4,,08-11-2024,NL,EV,activated,Ayvens,1,11/8/2021
VR3UHZKXZLT074232,J251GK,PEUGEOT,208,GT EV 50kWh 136 5d,50,,21-08-2024,NL,EV,activated,Ayvens,1,8/21/2020
VXKUHZKXZL4324589,J126KF,Opel,Corsa-e,100kW Edition 5d,,,26-08-2024,NL,EV,never activated,Ayvens,1,8/26/2020
W1K2938901F007443,J803PD,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,25-09-2024,NL,EV,activated,Ayvens,1,9/25/2020
W1K2938901F011636,J-389-PH,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,9/27/2024,NL,EV,deactivated,SOLD,1,9/28/2020
KNAC481AFN5009315,x,KIA,EV6,x,,,09.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,11/9/2024
WDD2938901F002726,G395RX,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,01-11-2024,NL,EV,never activated,Ayvens,1,11/22/2019
WDD2938901F002791,G022TX,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,04-11-2024,NL,EV,activated,Ayvens,1,12/6/2019
W1K2938901F016045,J517XK,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,11-11-2024,NL,EV,activated,Ayvens,1,11/11/2020
W1K2938901F016430,K849FZ,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury 5d,,756,14-12-2024,NL,EV,activated,Ayvens,1,12/14/2020
W1K2938901F005654,H680PN,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,15-12-2024,NL,EV,activated,Ayvens,1,3/27/2020
W1K2938901F020182,K-228-GX,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,12/16/2024,NL,EV,activated,Ayvens,1,12/17/2020
W1K2938901F020641,K-330-JH,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,12/30/2024,NL,EV,activated,Ayvens,1,12/31/2020
W1K2938901F004037,H-425-HD,Mercedes-Benz,EQC,EQC 400 4MATIC,,406,6/5/2024,NL,EV,deactivated,SOLD,1,2/6/2020
KNAC481CPN5004891,x,KIA,EV6,x,,,16.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,11/16/2024
WDD2938901F001550,G-186-GH,Mercedes-Benz,EQC,EQC 400 4MATIC,,406,11/15/2024,NL,EV,activated,Ayvens,1,5/16/2023
KNAC481AFN5010246,x,KIA,EV6,x,,,21.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,11/21/2024
W1N2437011J021025,N-669-HT,Mercedes-Benz,EQA,250 Business Solution Luxury auto,66.5,419,5/16/2024,NL,EV,activated,SOLD,1,11/17/2021
KNAC381CPN5009669,x,KIA,EV6,x,,,24.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,11/24/2024
W1N2437011J011326,L860PZ,Mercedes-Benz,EQA,250 Business Solution AMG auto 5d,66.5,419,13-07-2024,NL,EV,deactivated,SOLD,1,7/13/2021
W1N2437011J020672,x,MERCEDES-BENZ,EQA,EQA,66.5,X,26.10.2024 00:00:00,Germany,EV,activated,Ayvens,1,10/26/2024
WBY8P210X07F46600,G149XN,BMW,i3,i3 (120Ah) 5d,,,20-12-2024,NL,EV,activated,Ayvens,1,12/20/2019
KNAC381AFN5007593,N169NF,KIA,EV6,77.4kWh EV6 Plus RWD 5d Onze Deal,77.4,,25-11-2024,NL,EV,activated,Ayvens,1,11/25/2021
KNAC481CPN5007381,x,KIA,EV6,x,,,06.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/6/2024
KNAC481CPN5015586,x,KIA,EV6,x,,,14.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/14/2024
KNAC481AFN5012181,N063PT,KIA,EV6,77.4kWh GT-Line RWD 5d Onze Deal,77.4,,17-12-2024,NL,EV,activated,Ayvens,1,12/17/2021
KNAC381AFN5005052,x,KIA,EV6,x,,,22.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/22/2024
KNAC381AFN5048382,P-163-TR,KIA,EV6,77.4kWh Plus RWD,77.4,,12/22/2024,NL,EV,activated,SOLD,1,6/23/2022
KNAC481AFN5013125,N815SL,KIA,EV6,77.4kWh GT-Line RWD 5d,77.4,,23-12-2024,NL,EV,activated,Ayvens,1,12/23/2021
KNAC381AFN5048423,P-504-VX,KIA,EV6,77.4kWh Plus RWD,77.4,,12/29/2024,NL,EV,activated,SOLD,1,6/30/2022
VXKUHZKXZL4319080,J028JN,Opel,Corsa-e,100kW Edition 5d,,,28-08-2024,NL,EV,activated,Ayvens,1,8/19/2020
VR1UJZKXZLW025830,J103XZ,DS,DS 3 Crossback,E-TENSE 50 kWh Grand Chic Auto 5d,50,,01-09-2024,NL,EV,activated,Ayvens,1,11/12/2020
W1N2437011J010162,x,MERCEDES-BENZ,EQA,EQA,66.5,X,31.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/31/2024
WBY71AW080FN98925,x,BMW,i4,x,Quota limit -> On high Mobility,,22.12.2024 00:00:00,Germany,EV,deactivated,Ayvens,1,#N/A
WBY8P610307F28995,G478ZT,BMW,i3,i3s (120Ah) 5d,,,27-12-2024,NL,OLD,activated,Ayvens,1,12/27/2019
VR3UKZKXZLJ829275,J987SL,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,01-09-2024,NL,EV,activated,Ayvens,1,10/15/2020
VR3UHZKXZLT085394,J600KR,PEUGEOT,208,GT EV 50kWh 136 5d,50,,03-09-2024,NL,EV,activated,Ayvens,1,8/31/2020
W0VF86E04K4138477,G971BH,Opel,Ampera-e,150kW Business 5d,,,04-09-2024,NL,EV,never activated,SOLD,1,9/3/2019
VXKUHZKXZL4332219,J195LL,Opel,Corsa-e,50kWh GS-Line 11kW 3 fase 5d,75,,08-09-2024,NL,EV,deactivated,SOLD,1,9/8/2020
VXKUHZKXZL4290122,x,OPEL,Corsa-e,x,,,08.09.2024 00:00:00,Germany,EV,activated,Ayvens,1,9/8/2024
VXKUHZKXZL4324109,J185LS,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,10-09-2024,NL,EV,deactivated,SOLD,1,9/10/2020
W1N9M0BBXPN025195,R174SZ,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,23-11-2024,NL,EV,activated,Ayvens,1,11/23/2022
WBY8P210907F47480,G-026-ZG,BMW,i3,i3 (120Ah),,,12/30/2024,NL,OLD,activated,Ayvens,1,12/31/2019
VXKUHZKXZL4332285,J186LS,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,10-09-2024,NL,EV,activated,Ayvens,1,9/10/2020
VR3UHZKXZLT073539,J719LP,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,11-09-2024,NL,EV,activated,Ayvens,1,9/11/2020
VR3UHZKXZLT077916,J152KV,PEUGEOT,208,Allure EV 50kWh 136 5d,50,,12-09-2024,NL,EV,activated,Ayvens,1,8/31/2020
